league_id,sub_league_id,year,best_hitter_id,best_pitcher_id,best_rookie_id,best_manager_id,best_fielder_id0,best_fielder_id1,best_fielder_id2,best_fielder_id3,best_fielder_id4,best_fielder_id5,best_fielder_id6,best_fielder_id7,best_fielder_id8,best_fielder_id9
100,0,2000,8603,8603,9760,0,0,5912,6770,4897,187,4616,14154,4027,14704,3812
100,1,2000,5917,6833,10692,0,0,5013,1110,7054,1257,14105,1913,1228,3882,5278
100,0,2001,13673,1723,15383,0,0,15383,6020,3347,5498,7473,14154,245,6530,15404
100,1,2001,5917,10692,15370,0,0,5833,8148,5917,5383,11766,6012,6719,6864,14239
100,0,2002,8603,8603,15503,0,0,14839,3453,10268,5498,2377,14154,6099,4027,15404
100,1,2002,15370,12209,15516,0,0,8355,10850,12402,11352,11766,1913,1825,6864,3690
100,0,2003,8603,8603,15777,0,0,15534,10889,2644,15142,2296,11702,15453,1968,15404
100,1,2003,15370,12209,15796,0,0,10374,401,7820,5383,11766,11416,10626,6864,3003
100,0,2004,12060,12060,15829,0,0,11743,8148,15777,11592,2296,15277,15453,7479,15404
100,1,2004,15370,15392,15989,0,0,14781,7173,2160,2186,2193,11416,15626,6864,6092
100,0,2005,11702,12060,16090,0,0,7987,562,4027,15380,2296,6736,15453,14492,15404
100,1,2005,15370,15421,16122,0,0,10462,15280,5917,2186,2193,15277,15626,6864,29
100,0,2006,10365,12060,16314,0,0,15031,16289,15777,2186,5010,15652,16032,6530,15404
100,1,2006,15636,15554,16415,0,0,9684,641,15370,15507,4196,4647,14841,6864,16068
100,0,2007,15383,15383,16503,0,0,16199,14066,15358,15471,15307,6736,10626,15974,5405
100,1,2007,15636,15554,16447,0,0,16137,15280,15871,15507,16209,11770,15895,876,15516
100,0,2008,16005,15526,16752,0,0,4779,10889,15731,16352,875,15741,15453,15974,16314
100,1,2008,16447,15554,16662,0,0,16572,16282,15871,15560,16299,11770,15626,16325,14882
100,0,2009,15880,15880,17027,0,0,16063,15709,15777,16294,875,15584,15656,6530,16314
100,1,2009,15370,16537,17015,0,0,16163,7173,15370,15560,16535,11770,16447,15382,16578
100,0,2010,15636,15383,17160,0,0,16443,17068,16439,16036,875,6736,15453,16291,15404
100,1,2010,5522,5522,17150,0,0,16391,16329,15871,15781,11766,16911,16447,16226,17150
100,0,2011,15636,16948,17382,0,0,16894,16615,17382,16036,16752,16083,16503,16291,16737
100,1,2011,16414,16703,17278,0,0,17139,17179,16626,15560,10966,16414,17001,16293,16621
100,0,2012,17494,16396,17538,0,0,17405,17068,15362,16880,17425,16083,16503,16291,16048
100,1,2012,16740,16740,17586,0,0,16768,16122,15913,16091,16514,15755,15911,16982,17150
100,0,2013,17494,17230,17858,0,0,16745,17077,15731,17556,17343,16695,16503,16291,16314
100,1,2013,16711,16711,17888,0,0,355,16318,17453,17080,16514,11770,16621,16840,17512
100,0,2014,17494,16799,17931,0,0,16063,17942,17382,18080,17343,16695,16503,16486,17512
100,1,2014,17366,17249,17997,0,0,15495,16329,17453,16091,16855,17689,17940,16500,17150
100,0,2015,17494,17230,18221,0,0,16496,17441,17382,18126,16514,16825,16503,17877,17531
100,1,2015,17722,16740,18203,0,0,17072,16671,17366,17398,17722,17590,16621,18280,17150
100,0,2016,17964,17230,18586,0,0,17647,17441,17382,16036,17626,17732,16503,17877,17558
100,1,2016,17778,17778,18641,0,0,18269,17011,17366,17686,17722,17323,16350,18280,17246
100,0,2017,17626,18484,17825,0,0,17255,16318,17382,17556,17472,17732,16500,17825,17558
100,1,2017,17722,17936,0,0,0,18644,16671,17288,17398,17722,18641,18289,18047,17163
