team_id,gate_revenue,season_ticket_revenue,media_revenue,merchandising_revenue,revenue_sharing,playoff_revenue,cash,cash_owner,cash_trades,previous_balance,player_expenses,staff_expenses,stadium_expenses,season_tickets,attendance,fan_interest,fan_loyalty,fan_modifier,ticket_price,local_media_contract,local_media_contract_expires,national_media_contract,national_media_contract_expires,scouting_budget,development_budget,draft_budget,draft_expenses,intl_fa_budget,spent_in_intl,budget,market,owner_expectation,total_revenue,total_expenses,financial_balance,budget_balance,player_payroll,player_payroll_next_season,player_payroll_offered,mode
1,0,14118300,15300000,0,0,0,380000,-3442137,0,3822137,0,0,0,0,0,87,3,0,14.0000,4800000,1,10500000,1,0,2430000,2843700,0,0,0,45000000,4,4,29418300,2430000,27368300,40106300,0.0000,0.0000,0.0000,0
2,0,38298136,24000000,0,0,0,665000,13538272,0,-12873272,0,0,0,0,0,86,10,0,19.5000,13500000,1,10500000,1,0,2430000,8531200,0,0,0,110000000,10,4,62298136,2430000,60533136,99703800,0.0000,0.0000,0.0000,0
3,0,25559226,18000000,0,0,0,570000,1423462,0,-853462,0,0,0,0,0,99,7,9,16.5000,7500000,1,10500000,1,0,2430000,2843700,0,0,0,70000000,6,4,43559226,2430000,41699226,65296300,0.0000,0.0000,0.0000,0
4,0,13194446,14100000,0,0,0,950000,-476510,0,1426510,0,0,0,0,0,61,2,0,12.2000,3600000,1,10500000,1,0,2430000,2843700,0,0,0,37500000,3,3,27294446,2430000,25814446,33176300,0.0000,0.0000,0.0000,0
5,0,37296045,24500000,0,0,0,380000,414612,0,-34612,0,0,0,0,0,100,7,0,21.2500,14000000,1,10500000,1,0,3858700,8531200,0,0,0,110000000,11,4,61796045,3858700,58317345,97990100,0.0000,0.0000,0.0000,0
6,0,18116411,15100000,0,0,0,380000,18840377,0,-18460377,0,0,0,0,0,64,5,0,13.4000,4600000,1,10500000,1,0,2430000,8531200,0,0,0,65000000,4,0,33216411,2430000,31166411,54418800,0.0000,0.0000,0.0000,0
7,0,8825857,13900000,0,0,0,570000,-8052201,0,8622201,0,0,0,0,0,79,2,0,11.8000,3400000,1,10500000,1,0,4860000,5687500,0,0,0,32500000,3,5,22725857,4860000,18435857,22522500,0.0000,0.0000,0.0000,0
8,0,11482025,13900000,0,0,0,380000,-12345999,0,12725999,0,0,0,0,0,50,4,0,11.8000,3400000,1,10500000,1,0,4860000,5687500,0,0,0,27000000,3,1,25382025,4860000,20902025,16832500,0.0000,0.0000,0.0000,0
9,0,26734617,23500000,0,0,0,760000,-13691243,0,14451243,0,0,0,0,0,61,7,0,21.0000,13000000,1,10500000,1,0,5138200,6013000,0,0,0,100000000,9,3,50234617,5138200,45856417,89608800,0.0000,0.0000,0.0000,0
10,0,10544515,15100000,0,0,0,570000,14841796,0,-14271796,0,0,0,0,0,45,3,0,13.6000,4600000,1,10500000,1,0,2430000,8531200,0,0,0,60000000,4,0,25644515,2430000,23784515,49608800,0.0000,0.0000,0.0000,2
11,0,31743576,21000000,0,0,0,285000,3805545,0,-3520545,0,0,0,0,0,73,9,0,18.0000,10500000,1,10500000,1,0,3274000,8531200,0,0,0,90000000,8,1,52743576,3274000,49754576,78479800,0.0000,0.0000,0.0000,0
12,0,14435998,16500000,0,0,0,570000,10674772,0,-10104772,0,0,0,0,0,53,5,0,14.6000,6000000,1,10500000,1,0,2430000,8531200,0,0,0,70000000,5,2,30935998,2430000,29075998,59608800,0.0000,0.0000,0.0000,2
13,0,24218898,20000000,0,0,0,285000,-8867459,0,9152459,0,0,0,0,0,57,7,0,17.7500,9500000,1,10500000,1,0,4860000,5687500,0,0,0,80000000,7,2,44218898,4860000,39643898,69737500,0.0000,0.0000,0.0000,0
14,0,25781797,17000000,0,0,0,760000,1563281,0,-803281,0,0,0,0,0,100,7,0,14.9000,6500000,1,10500000,1,0,2430000,2843700,0,0,0,60000000,5,2,42781797,2430000,41111797,55486300,0.0000,0.0000,0.0000,0
15,0,24678796,21500000,0,0,0,760000,-8070399,0,8830399,0,0,0,0,0,88,7,0,18.5000,11000000,1,10500000,1,0,4860000,5687500,0,0,0,85000000,8,3,46178796,4860000,42078796,75212500,0.0000,0.0000,0.0000,0
16,0,24546240,23500000,0,0,0,285000,-7416240,0,7701240,0,0,0,0,0,54,6,0,20.0000,13000000,1,10500000,1,0,4860000,5687500,0,0,0,99000000,9,3,48046240,4860000,43471240,88737500,0.0000,0.0000,0.0000,0
17,0,25092726,19000000,0,0,0,380000,16815024,0,-16435024,0,0,0,0,0,94,7,0,15.7500,8500000,1,10500000,1,0,2430000,8531200,0,0,0,85000000,7,5,44092726,2430000,42042726,74418800,0.0000,0.0000,0.0000,0
18,0,12164288,16500000,0,0,0,570000,17659663,0,-17089663,0,0,0,0,0,49,5,0,13.2000,6000000,1,10500000,1,0,2430000,8531200,0,0,0,70000000,5,0,28664288,2430000,26804288,59608800,0.0000,0.0000,0.0000,2
19,0,25659342,20000000,0,0,0,665000,-16906846,0,17571846,0,0,0,0,0,90,7,0,18.0000,9500000,1,10500000,1,0,5887500,6889900,0,0,0,75000000,7,4,45659342,5887500,40436842,62887600,0.0000,0.0000,0.0000,0
20,0,19168974,14100000,0,0,0,95000,-11813067,0,11908067,0,0,0,0,0,98,7,0,12.4000,3600000,1,10500000,1,0,4860000,5687500,0,0,0,37500000,3,3,33268974,4860000,28503974,27047500,0.0000,0.0000,0.0000,0
21,0,29494773,20000000,0,0,0,475000,-9555416,0,10030416,0,0,0,0,0,90,7,0,19.2500,9500000,1,10500000,1,0,4860000,5687500,0,0,0,85000000,7,3,49494773,4860000,45109773,74927500,0.0000,0.0000,0.0000,0
22,0,32135676,21000000,0,0,0,285000,3440736,0,-3155736,0,0,0,0,0,100,7,0,18.2500,10500000,1,10500000,1,0,3412000,8531200,0,0,0,90000000,8,2,53135676,3412000,50008676,78341800,0.0000,0.0000,0.0000,0
23,0,9522651,14100000,0,0,0,570000,1813678,0,-1243678,0,0,0,0,0,51,3,0,12.1000,3600000,1,10500000,1,0,3574200,8531200,0,0,0,42500000,3,2,23622651,3574200,20618451,30964600,0.0000,0.0000,0.0000,0
24,0,15626844,13900000,0,0,0,285000,-2343216,0,2628216,0,0,0,0,0,96,3,0,12.0000,3400000,1,10500000,1,0,2430000,2843700,0,0,0,35000000,3,4,29526844,2430000,27381844,30011300,0.0000,0.0000,0.0000,1
25,0,24902599,22000000,0,0,0,380000,21662286,0,-21282286,0,0,0,0,0,79,7,0,18.2500,11500000,1,10500000,1,0,2430000,8531200,0,0,0,110000000,9,4,46902599,2430000,44852599,99418800,0.0000,0.0000,0.0000,0
26,0,10520344,15100000,0,0,0,380000,14347765,0,-13967765,0,0,0,0,0,50,4,0,12.6000,4600000,1,10500000,1,0,2430000,8531200,0,0,0,60000000,5,1,25620344,2430000,23570344,49418800,0.0000,0.0000,0.0000,0
27,0,8717868,14100000,0,0,0,285000,7743944,0,-7458944,0,0,0,0,0,49,2,0,12.0000,3600000,1,10500000,1,0,2430000,8531200,0,0,0,47500000,4,4,22817868,2430000,20672868,36823800,0.0000,0.0000,0.0000,0
28,0,21343824,19500000,0,0,0,380000,5249244,0,-4869244,0,0,0,0,0,60,7,0,16.0000,9000000,1,10500000,1,0,2991900,8531200,0,0,0,75000000,7,3,40843824,2991900,38231924,63856900,0.0000,0.0000,0.0000,0
29,0,24296132,18000000,0,0,0,285000,14564701,0,-14279701,0,0,0,0,0,83,7,0,15.2500,7500000,1,10500000,1,0,2430000,8531200,0,0,0,80000000,6,4,42296132,2430000,40151132,69323800,0.0000,0.0000,0.0000,0
30,0,30815032,19500000,0,0,0,665000,-5680260,0,6345260,0,0,0,0,0,100,7,0,17.5000,9000000,1,10500000,1,0,4860000,5687500,0,0,0,73000000,9,4,50315032,4860000,46120032,63117500,0.0000,0.0000,0.0000,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
